model,type,fuel,price,features
Tesla Model 3,sedan,electric,40000,"autopilot, long range, fast charging"
Toyota RAV4 Hybrid,suv,hybrid,32000,"all wheel drive, great mpg"
Ford F-150,truck,petrol,35000,"towing capacity, rugged"
Honda Civic,sedan,petrol,25000,"reliable, fuel efficient"
BMW X5,suv,petrol,60000,"luxury, AWD, sporty"
BMW X1,coupe,electric,84007,"sporty, fuel efficient, reliable"
Honda CR-V,suv,petrol,46255,"all wheel drive, towing capacity"
Toyota Corolla,sedan,electric,39180,"long range, all wheel drive"
Fiat Tipo,hatchback,hybrid,56284,reliable
Citroen C3,sedan,hybrid,83972,"fuel efficient, autopilot"
Volvo S60,coupe,electric,31279,"fast charging, luxury, autopilot"
Tesla Model Y,sedan,petrol,64316,"autopilot, sporty, long range"
Fiat Tipo,sedan,petrol,22840,"sporty, long range"
Tesla Model S,hatchback,hybrid,71364,"autopilot, sporty, all wheel drive"
Toyota Corolla,suv,hybrid,58266,"AWD, fuel efficient"
Honda Fit,truck,electric,53037,"fuel efficient, long range, all wheel drive"
Tesla Model S,hatchback,electric,83630,"all wheel drive, autopilot, luxury"
Ford Focus,coupe,electric,31062,"AWD, autopilot, towing capacity"
BMW X1,coupe,electric,17799,"sporty, fuel efficient, AWD"
Toyota Corolla,truck,petrol,39288,autopilot
Ford Focus,sedan,diesel,60256,"sporty, fuel efficient, all wheel drive"
Tesla Model X,hatchback,hybrid,75591,"all wheel drive, luxury, long range"
Citroen C5 Aircross,hatchback,hybrid,33396,sporty
Renault Clio,suv,diesel,65015,"fast charging, sporty"
Renault Captur,truck,petrol,30959,"luxury, long range, towing capacity"
Toyota Corolla,coupe,petrol,66706,"long range, luxury, fast charging"
Ford Focus,suv,electric,29010,fast charging
BMW X1,hatchback,diesel,23363,"autopilot, towing capacity"
Citroen C4 Cactus,suv,diesel,33169,sporty
Tesla Model Y,coupe,electric,41373,"sporty, reliable"
Ford Explorer,hatchback,hybrid,61078,"AWD, fast charging, fuel efficient"
Tesla Model X,hatchback,diesel,37243,"long range, all wheel drive"
Honda Fit,sedan,hybrid,77028,"fuel efficient, sporty, long range"
Fiat Tipo,suv,hybrid,69618,"luxury, fast charging, sporty"
Ford Focus,truck,diesel,74767,"long range, fast charging, autopilot"
Toyota Yaris,suv,diesel,32854,"AWD, fast charging"
Toyota Camry,suv,electric,62533,reliable
Volvo S60,suv,electric,33011,towing capacity
Renault Clio,coupe,electric,45284,"fuel efficient, long range, towing capacity"
Renault Captur,truck,diesel,57861,AWD
Toyota Yaris,sedan,electric,30069,"autopilot, sporty"
Volvo XC60,hatchback,hybrid,15128,AWD
Ford Mustang,hatchback,hybrid,54949,"AWD, fuel efficient, towing capacity"
Tesla Model Y,truck,hybrid,49127,AWD
Renault Captur,sedan,petrol,82089,"AWD, all wheel drive, fuel efficient"
Tesla Model X,hatchback,diesel,39701,"all wheel drive, towing capacity, fuel efficient"
Tesla Model Y,hatchback,petrol,26648,autopilot
Fiat Panda,coupe,diesel,15280,fuel efficient
Honda Fit,suv,hybrid,75590,"all wheel drive, long range, fuel efficient"
Honda Accord,sedan,electric,33596,sporty
BMW X1,truck,hybrid,15302,"fuel efficient, AWD"
Renault Clio,suv,petrol,41853,"autopilot, AWD"
Citroen C3,suv,hybrid,18688,luxury
BMW X1,coupe,petrol,27721,fast charging
BMW X1,truck,diesel,19605,"sporty, luxury, fuel efficient"
Citroen C5 Aircross,sedan,petrol,52695,"sporty, long range"
BMW X1,sedan,electric,68416,fast charging
Ford Focus,suv,electric,85348,"autopilot, all wheel drive"
Ford Mustang,hatchback,diesel,68415,autopilot
